0,1
"{'to_table': 'dimSource', 'Title': 'Tom Jones', 'US_Gross': '37600000', 'Worldwide_Gross': '37600000', 'US_DVD_Sales': '', 'Production_Budget': '1000000', 'Rotten_Tomatoes_Rating': '81', 'IMDB_Rating': '7', 'IMDB_Votes': '4035', 'Director': '', 'Distributor': '', 'Release_Date': '23291', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Oliver!', 'US_Gross': '37402877', 'Worldwide_Gross': '37402877', 'US_DVD_Sales': '', 'Production_Budget': '10000000', 'Rotten_Tomatoes_Rating': '84', 'IMDB_Rating': '7.5', 'IMDB_Votes': '9111', 'Director': '', 'Distributor': 'Sony Pictures', 'Release_Date': '25183', 'Major_Genre': 'Musical', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'To Kill A Mockingbird', 'US_Gross': '13129846', 'Worldwide_Gross': '13129846', 'US_DVD_Sales': '', 'Production_Budget': '2000000', 'Rotten_Tomatoes_Rating': '97', 'IMDB_Rating': '8.4', 'IMDB_Votes': '82786', 'Director': '', 'Distributor': 'Universal', 'Release_Date': '23005', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Tora, Tora, Tora', 'US_Gross': '29548291', 'Worldwide_Gross': '29548291', 'US_DVD_Sales': '', 'Production_Budget': '25000000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '', 'IMDB_Votes': '', 'Director': 'Richard Fleischer', 'Distributor': '', 'Release_Date': '25834', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Hollywood Shuffle', 'US_Gross': '5228617', 'Worldwide_Gross': '5228617', 'US_DVD_Sales': '', 'Production_Budget': '100000', 'Rotten_Tomatoes_Rating': '87', 'IMDB_Rating': '6.8', 'IMDB_Votes': '1532', 'Director': '', 'Distributor': '', 'Release_Date': '31837', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Over The Hill To The Poorhouse', 'US_Gross': '3000000', 'Worldwide_Gross': '3000000', 'US_DVD_Sales': '', 'Production_Budget': '100000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '', 'IMDB_Votes': '', 'Director': '', 'Distributor': '', 'Release_Date': '44091', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Wilson', 'US_Gross': '2000000', 'Worldwide_Gross': '2000000', 'US_DVD_Sales': '', 'Production_Budget': '5200000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '7', 'IMDB_Votes': '451', 'Director': '', 'Distributor': '', 'Release_Date': '16285', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Darling Lili', 'US_Gross': '5000000', 'Worldwide_Gross': '5000000', 'US_DVD_Sales': '', 'Production_Budget': '22000000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '6.1', 'IMDB_Votes': '858', 'Director': 'Blake Edwards', 'Distributor': '', 'Release_Date': '25569', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'The Ten Commandments', 'US_Gross': '80000000', 'Worldwide_Gross': '80000000', 'US_DVD_Sales': '', 'Production_Budget': '13500000', 'Rotten_Tomatoes_Rating': '90', 'IMDB_Rating': '2.5', 'IMDB_Votes': '1677', 'Director': '', 'Distributor': '', 'Release_Date': '20733', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '12 Angry Men', 'US_Gross': '0', 'Worldwide_Gross': '0', 'US_DVD_Sales': '', 'Production_Budget': '340000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '8.9', 'IMDB_Votes': '119101', 'Director': 'Sidney Lumet', 'Distributor': 'United Artists', 'Release_Date': '20923', 'Major_Genre': 'Drama', 'Creative_Type': '', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Twelve Monkeys', 'US_Gross': '57141459', 'Worldwide_Gross': '168841459', 'US_DVD_Sales': '', 'Production_Budget': '29000000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '8.1', 'IMDB_Votes': '169858', 'Director': 'Terry Gilliam', 'Distributor': 'Universal', 'Release_Date': '35060', 'Major_Genre': 'Drama', 'Creative_Type': 'Science Fiction', 'Source': 'Based On Short Film'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '1776', 'US_Gross': '0', 'Worldwide_Gross': '0', 'US_DVD_Sales': '', 'Production_Budget': '4000000', 'Rotten_Tomatoes_Rating': '57', 'IMDB_Rating': '7', 'IMDB_Votes': '4099', 'Director': '', 'Distributor': 'Sony/Columbia', 'Release_Date': '26612', 'Major_Genre': 'Drama', 'Creative_Type': 'Historical Fiction', 'Source': 'Based On Play'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '1941', 'US_Gross': '34175000', 'Worldwide_Gross': '94875000', 'US_DVD_Sales': '', 'Production_Budget': '32000000', 'Rotten_Tomatoes_Rating': '33', 'IMDB_Rating': '5.6', 'IMDB_Votes': '13364', 'Director': 'Steven Spielberg', 'Distributor': 'Universal', 'Release_Date': '29203', 'Major_Genre': 'Comedy', 'Creative_Type': 'Historical Fiction', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Chacun Sa Nuit', 'US_Gross': '18435', 'Worldwide_Gross': '18435', 'US_DVD_Sales': '', 'Production_Budget': '1900000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '6.3', 'IMDB_Votes': '365', 'Director': '', 'Distributor': 'Strand', 'Release_Date': '39262', 'Major_Genre': 'Thriller/Suspense', 'Creative_Type': '', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '2001: A Space Odyssey', 'US_Gross': '56700000', 'Worldwide_Gross': '68700000', 'US_DVD_Sales': '', 'Production_Budget': '10500000', 'Rotten_Tomatoes_Rating': '96', 'IMDB_Rating': '8.4', 'IMDB_Votes': '160342', 'Director': 'Stanley Kubrick', 'Distributor': '', 'Release_Date': '24930', 'Major_Genre': '', 'Creative_Type': 'Science Fiction', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '20,000 Leagues Under The Sea', 'US_Gross': '28200000', 'Worldwide_Gross': '28200000', 'US_DVD_Sales': '', 'Production_Budget': '5000000', 'Rotten_Tomatoes_Rating': '92', 'IMDB_Rating': '', 'IMDB_Votes': '', 'Director': 'Richard Fleischer', 'Distributor': 'Walt Disney Pictures', 'Release_Date': '20081', 'Major_Genre': 'Adventure', 'Creative_Type': '', 'Source': 'Based On Book/Short Story'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '20,000 Leagues Under The Sea', 'US_Gross': '8000000', 'Worldwide_Gross': '8000000', 'US_DVD_Sales': '', 'Production_Budget': '200000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '', 'IMDB_Votes': '', 'Director': '', 'Distributor': '', 'Release_Date': '42728', 'Major_Genre': 'Adventure', 'Creative_Type': '', 'Source': 'Based On Book/Short Story'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '24 7: Twenty Four Seven', 'US_Gross': '72544', 'Worldwide_Gross': '72544', 'US_DVD_Sales': '', 'Production_Budget': '2000000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '6.9', 'IMDB_Votes': '1417', 'Director': 'Shane Meadows', 'Distributor': 'October Films', 'Release_Date': '35900', 'Major_Genre': 'Comedy', 'Creative_Type': '', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Twin Falls Idaho', 'US_Gross': '985341', 'Worldwide_Gross': '1027228', 'US_DVD_Sales': '', 'Production_Budget': '500000', 'Rotten_Tomatoes_Rating': '77', 'IMDB_Rating': '7.1', 'IMDB_Votes': '2810', 'Director': 'Michael Polish', 'Distributor': 'Sony Pictures Classics', 'Release_Date': '36371', 'Major_Genre': 'Drama', 'Creative_Type': 'Contemporary Fiction', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Three Kingdoms: Resurrection Of The Dragon', 'US_Gross': '0', 'Worldwide_Gross': '22139590', 'US_DVD_Sales': '', 'Production_Budget': '20000000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '', 'IMDB_Votes': '', 'Director': '', 'Distributor': '', 'Release_Date': '39541', 'Major_Genre': 'Action', 'Creative_Type': 'Historical Fiction', 'Source': 'Based On Book/Short Story'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '3 Men And A Baby', 'US_Gross': '167780960', 'Worldwide_Gross': '167780960', 'US_DVD_Sales': '', 'Production_Budget': '15000000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '5.7', 'IMDB_Votes': '16764', 'Director': 'Leonard Nimoy', 'Distributor': 'Walt Disney Pictures', 'Release_Date': '32106', 'Major_Genre': 'Comedy', 'Creative_Type': 'Contemporary Fiction', 'Source': 'Remake'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': '3 Ninjas Kick Back', 'US_Gross': '11744960', 'Worldwide_Gross': '11744960', 'US_DVD_Sales': '', 'Production_Budget': '20000000', 'Rotten_Tomatoes_Rating': '17', 'IMDB_Rating': '3.2', 'IMDB_Votes': '3107', 'Director': '', 'Distributor': 'Walt Disney Pictures', 'Release_Date': '34460', 'Major_Genre': 'Action', 'Creative_Type': 'Contemporary Fiction', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
